"","YearWeek","Total.Flu","Total.ILI","weekly_tylenol_vec","weekly_shipments"
"1","201340",4911,9677,24299121.25,0
"2","201341",5808,10420,24299121.25,0
"3","201342",5801,10658,24299121.25,36400
"4","201343",5886,12036,24299121.25,36400
"5","201344",6316,12502,21891616,36400
"6","201345",6945,13498,21891616,36400
"7","201346",7203,13927,21891616,0
"8","201347",7839,15168,21891616,0
"9","201348",7433,13975,21891616,0
"10","201349",10169,18920,46892914.5,0
"11","201350",10837,19398,46892914.5,0
"12","201351",14015,24697,46892914.5,36400
"13","201352",15748,26988,46892914.5,0
"14","20141",17779,28654,34867891.25,0
"15","20142",18253,28147,34867891.25,36400
"16","20143",17480,28370,34867891.25,36400
"17","20144",16468,25502,34867891.25,36400
"18","20145",14618,23484,24754781.4,31850
"19","20146",12995,21085,24754781.4,0
"20","20147",11892,18195,24754781.4,0
"21","20148",11127,17234,24754781.4,36400
"22","20149",10252,15914,24754781.4,18200
"23","201410",9441,15044,35963394.25,0
"24","201411",8922,14024,35963394.25,54600
"25","201412",8216,14926,35963394.25,36400
"26","201413",7905,14661,35963394.25,54600
"27","201414",7531,14637,37505368.5,54600
"28","201415",7179,14206,37505368.5,54600
"29","201416",6648,11723,37505368.5,36400
"30","201417",6317,10814,37505368.5,0
"31","201418",5865,9648,27607515.4,36400
"32","201419",5436,9775,27607515.4,0
"33","201420",5315,9033,27607515.4,0
"34","201421",4833,8797,27607515.4,35750
"35","201422",4757,7658,27607515.4,0
"36","201423",4310,7229,40311651.25,0
"37","201424",4140,6783,40311651.25,18200
"38","201425",3877,6369,40311651.25,18200
"39","201426",3434,6038,40311651.25,0
"40","201427",3144,5352,33467638.25,0
"41","201428",3057,5295,33467638.25,18200
"42","201429",3188,5083,33467638.25,0
"43","201430",3127,4765,33467638.25,53950
"44","201431",2939,4942,26268601,0
"45","201432",2973,4744,26268601,36400
"46","201433",3270,4980,26268601,54600
"47","201434",3339,5305,26268601,0
"48","201435",3973,5799,26268601,54600
"49","201436",4227,6050,41542397.5,72800
"50","201437",5324,8130,41542397.5,54600
"51","201438",5681,8888,41542397.5,36400
"52","201439",5905,8874,41542397.5,35100
"53","201440",9567,10150,35724398.75,36400
"54","201441",11036,10977,35724398.75,18200
"55","201442",11729,11941,35724398.75,18200
"56","201443",11385,12292,35724398.75,0
"57","201444",11531,12313,25950141.4,0
"58","201445",12918,13853,25950141.4,0
"59","201446",13777,14062,25950141.4,0
"60","201447",16166,16674,25950141.4,0
"61","201448",18504,17602,25950141.4,0
"62","201449",23068,22905,43819538,0
"63","201450",29223,29172,43819538,36400
"64","201451",37114,37382,43819538,0
"65","201452",42518,40533,43819538,36400
"66","201453",41550,36891,43819538,36400
"67","20151",38508,31483,36658967,0
"68","20152",35598,31204,36658967,0
"69","20153",34194,33221,36658967,0
"70","20154",32003,30621,36658967,0
"71","20155",29581,28151,30668088.8,18200
"72","20156",26994,25218,30668088.8,18200
"73","20157",24293,21109,30668088.8,0
"74","20158",22294,19178,30668088.8,18200
"75","20159",20420,18441,30668088.8,0
"76","201510",19845,17833,44506947,0
"77","201511",18419,16695,44506947,91000
"78","201512",16980,16122,44506947,18200
"79","201513",15125,14975,44506947,18200
"80","201514",14743,13733,35347915.75,61750
"81","201515",13389,12044,35347915.75,36400
"82","201516",11873,10860,35347915.75,0
"83","201517",10770,11095,35347915.75,0
"84","201518",9784,10694,23991694,0
"85","201519",9188,9671,23991694,0
"86","201520",8412,9024,23991694,0
"87","201521",7748,7913,23991694,0
"88","201522",6993,6946,23991694,36400
"89","201523",6725,6744,41733938.25,54600
"90","201524",6133,5850,41733938.25,18200
"91","201525",5558,5913,41733938.25,0
"92","201526",5248,5232,41733938.25,0
"93","201527",5260,5116,39533157.25,36400
"94","201528",5039,4870,39533157.25,18200
"95","201529",4811,4626,39533157.25,54600
"96","201530",4785,4605,39533157.25,36400
"97","201531",4790,4753,26889166.6,36400
"98","201532",4910,4750,26889166.6,36400
"99","201533",5170,5173,26889166.6,36400
"100","201534",5381,5648,26889166.6,36400
"101","201535",6115,5963,26889166.6,36400
"102","201536",6786,5970,44386821.75,36400
"103","201537",7694,7062,44386821.75,36400
"104","201538",8855,7704,44386821.75,0
"105","201539",9876,7626,44386821.75,0
"106","201540",13168,10205,31976386.25,0
"107","201541",14263,10697,31976386.25,36400
"108","201542",14639,11582,31976386.25,31200
"109","201543",14781,11159,31976386.25,0
"110","201544",16152,12479,30776364.8,36400
"111","201545",16441,12680,30776364.8,0
"112","201546",16708,13492,30776364.8,36400
"113","201547",16391,12149,30776364.8,0
"114","201548",17751,14613,30776364.8,0
"115","201549",18191,14992,44287918,0
"116","201550",18833,15400,44287918,0
"117","201551",18123,14805,44287918,0
"118","201552",20350,15666,44287918,0
