,YearWeek,Total.Flu,Total.ILI,weekly_tylenol_vec,weekly_shipments,Positive.Specimens
1,201340,4911,9677,24299121.25,0,194
2,201341,5808,10420,24299121.25,0,229
3,201342,5801,10658,24299121.25,36400,185
4,201343,5886,12036,24299121.25,36400,208
5,201344,6316,12502,21891616,36400,293
6,201345,6945,13498,21891616,36400,400
7,201346,7203,13927,21891616,0,518
8,201347,7839,15168,21891616,0,717
9,201348,7433,13975,21891616,0,898
10,201349,10169,18920,46892914.5,0,1719
11,201350,10837,19398,46892914.5,0,2253
12,201351,14015,24697,46892914.5,36400,3955
13,201352,15748,26988,46892914.5,0,4893
14,20141,17779,28654,34867891.25,0,5187
15,20142,18253,28147,34867891.25,36400,5057
16,20143,17480,28370,34867891.25,36400,4680
17,20144,16468,25502,34867891.25,36400,4002
18,20145,14618,23484,24754781.4,31850,2990
19,20146,12995,21085,24754781.4,0,2477
20,20147,11892,18195,24754781.4,0,1951
21,20148,11127,17234,24754781.4,36400,1518
22,20149,10252,15914,24754781.4,18200,1218
23,201410,9441,15044,35963394.25,0,1023
24,201411,8922,14024,35963394.25,54600,986
25,201412,8216,14926,35963394.25,36400,1030
26,201413,7905,14661,35963394.25,54600,1053
27,201414,7531,14637,37505368.5,54600,1093
28,201415,7179,14206,37505368.5,54600,1074
29,201416,6648,11723,37505368.5,36400,912
30,201417,6317,10814,37505368.5,0,824
31,201418,5865,9648,27607515.4,36400,742
32,201419,5436,9775,27607515.4,0,597
33,201420,5315,9033,27607515.4,0,551
34,201421,4833,8797,27607515.4,35750,407
35,201422,4757,7658,27607515.4,0,423
36,201423,4310,7229,40311651.25,0,311
37,201424,4140,6783,40311651.25,18200,294
38,201425,3877,6369,40311651.25,18200,228
39,201426,3434,6038,40311651.25,0,174
40,201427,3144,5352,33467638.25,0,158
41,201428,3057,5295,33467638.25,18200,153
42,201429,3188,5083,33467638.25,0,121
43,201430,3127,4765,33467638.25,53950,117
44,201431,2939,4942,26268601,0,107
45,201432,2973,4744,26268601,36400,88
46,201433,3270,4980,26268601,54600,112
47,201434,3339,5305,26268601,0,110
48,201435,3973,5799,26268601,54600,136
49,201436,4227,6050,41542397.5,72800,117
50,201437,5324,8130,41542397.5,54600,131
51,201438,5681,8888,41542397.5,36400,171
52,201439,5905,8874,41542397.5,35100,204
53,201440,9567,10150,35724398.75,36400,309
54,201441,11036,10977,35724398.75,18200,439
